territory	year	femaleID	female_morph	maleID	male_morph	pairmorph	brood_size	autumn_voles	Shannon_index	inv_Simpson_index	Sum_Mammals	Sum_Birds	Sum_Frogs	Sum_Prey	Mass_Frogs 	Mass_Birds	Mass_Mammals 	Total_prey_mass
St	2016	19	2	1	1	2	5	4.947916667	1.29352818	3.107493135	69	19	1	89	36	1509	4305	5850
Li	2013	7	1	2	2	3	3	1.5625	1.291387384	3.338896021	33	17	1	51	36	1329	1069	2434
Li	2014	7	1	2	2	3	2	3.645833333	1.572701679	4.630136986	14	8	4	26	144	519	1033	1696
Kur	2013	8	1	3	1	1	3	1.5625	0.649687713	1.581699346	5	17	0	22	0	1723	218	1941
La	2016	1	2	4	2	4	2	4.947916667	1.476590951	4.114285714	36	10	2	48	72	529	2654	3255
Ra	2013	9	2	5	2	4	4	1.5625	1.00253155	2.44500846	41	43	1	85	36	2695	558	3289
Ra	2016	17	2	5	2	4	4	4.947916667	1.289262553	3.171806167	72	41	7	120	252	3591	2203	6046
Ra	2017	17	2	5	2	4	1	9.895833333	1.173168321	3.028037383	20	15	1	36	36	632	593	1261
Nu	2013	6	1	6	2	3	3	1.5625	1.250438626	2.756962025	14	18	1	33	36	1667	715	2418
Rå	2014	3	2	7	1	2	4	3.645833333	1.360809598	3.799392097	27	13	10	50	360	957	690	2007
Kr	2013	11	1	8	1	1	1	1.5625	0.958584942	2.331034483	22	4	0	26	0	553	370	923
Ve	2015	11	2	8	1	2	3	2.083333333	1.002550699	2.093997735	14	28	1	43	36	2027	1123	3186
Ki	2013	10	1	9	2	3	2	1.5625	0.941403053	2.347305389	13	15	0	28	0	1082	366	1448
Ki	2016	10	1	9	2	3	4	4.947916667	1.335655035	3.324468085	149	38	13	200	468	3053	5596	9117
Fr	2017	4	1	10	1	1	2	9.895833333	1.519694693	4.312820513	21	6	2	29	72	394	1543	2009
Kv	2018	30	2	11	1	2	2	4.947916667	1.131841881	2.647244094	21	19	1	41	36	1284	452	1772
Ka	2015	15	1	12	1	1	4	2.083333333	1.219621909	2.665299426	7	32	1	57	36	2813	1551	4400
Ky	2015	2	1	13	1	1	4	2.083333333	1.127483235	2.285714286	10	20	2	32	72	1398	503	1973
A	2017	16	1	14	1	1	3	9.895833333	1.515730009	4.150617284	17	15	9	41	324	1149	1861	3334
Le	2016	16	1	14	1	1	5	4.947916667	1.472980912	3.973509934	41	12	7	60	252	1206	3384	4842
So	2018	28	1	15	1	1	1	4.947916667	1.319046628	3.061677062	75	6	13	94	468	339	2037	2844
Ri	2016	12	1	16	2	3	3	4.947916667	1.494070548	4.090909091	36	19	5	60	180	1497	2789	4466
Fö	2016	5	2	17	1	2	4	4.947916667	1.419316382	3.601764129	77	6	22	105	792	473	3717	4982
Fö	2018	5	1	17	1	1	2	4.947916667	1.220635742	2.858037578	16	17	4	37	144	1498	668	2310
Ku	2016	20	2	18	1	2	4	4.947916667	1.431400178	3.8416	35	12	2	49	72	879	1625	2576
Ma	2016	18	1	19	1	1	4	4.947916667	1.54709213	4.537964459	36	13	4	53	144	969	3434	4547
Ma	2018	18	1	19	1	1	3	4.947916667	1.224769537	2.854625551	23	12	1	36	36	1060	911	2007
Su	2016	14	2	20	1	2	2	4.947916667	1.458680798	3.846921797	50	6	12	68	432	654	1733	2819
My	2016	13	1	21	2	3	4	4.947916667	1.313322781	3.122162162	59	3	14	76	504	270	2523	3297
Tö	2018	29	1	22	1	1	3	4.947916667	1.49856908	4.12195122	10	2	1	13	36	180	1086	1302
Nu	2016	22	2	23	1	2	4	4.947916667	1.45540037	3.985781991	22	6	1	29	36	473	1336	1845
Kyn	2017	24	1	24	2	3	3	9.895833333	1.406182375	3.382848392	17	22	8	47	288	1948	915	3151
Mi	2018	21	1	25	1	1	3	4.947916667	1.079658697	2.630156472	22	15	6	43	216	1330	472	2018
My	2017	23	2	25	1	2	3	9.895833333	1.485933723	4.211838006	27	13	12	52	432	1036	2437	3905
Ha	2017	25	1	26	2	3	4	9.895833333	1.380970998	3.575969485	67	4	4	75	144	293	5529	5966
Ko	2017	26	1	27	1	1	4	9.895833333	1.488434152	4.197080292	76	34	5	115	180	2610	4777	7567
Bb	2017	27	1	28	2	3	3	9.895833333	1.333790688	3.277712952	27	22	4	53	144	1621	994	2759
B	2018	31	2	29	1	2	3	4.947916667	NA	NA	19	14	6	39	216	1039	889	2144
